Kec. Jatinegara,016406  ,016400  
Kec. Kramat Jati,016405  ,016400  
Kec. Duren Sawit,016407  ,016400  
Kec. Makasar,016404  ,016400  
Kec. Matraman,016410  ,016400  
Kec. Cakung,016408  ,016400  
Kec. Ciracas,016402  ,016400  
Kec. Pulo Gadung,016409  ,016400  
Kec. Pasar Rebo,016401  ,016400  
Kec. Cipayung,016403  ,016400  
Kec. Damar,290605  ,290600  
Kec. Dendang,290601  ,290600  
Kec. Gantung,290602  ,290600  
Kec. Kelapa Kampit,290604  ,290600  
Kec. Manggar,290603  ,290600  
Kec. Simpang Pesak,290607  ,290600  
Kec. Simpang Renggiang,290606  ,290600  
Kec. Bakam,290115  ,290100  
Kec. Belinyu,290113  ,290100  
Kec. Mendo Barat,290107  ,290100  
Kec. Merawang,290108  ,290100  
Kec. Pemali,290116  ,290100  
Kec. Puding Besar,290114  ,290100  
Kec. Riau Silip,290117  ,290100  
Kec. Sungailiat,290109  ,290100  
Kec. Gerunggang,296005  ,296000  
Kec. Girimaya,296090  ,296000  
Kec. Pangkal Balam,296003  ,296000  
Kec. Rangkui,296001  ,296000  
Kec. Taman Sari,296004  ,296000  
Kec. Bukit Intan,296002  ,296000  
Kec. Gabek,296091  ,296000  
Kec. Cilandak,016303  ,016300  
Kec. Jagakarsa,016301  ,016300  
Kec. Kebayoran Baru,016306  ,016300  
Kec. Kebayoran Lama,016305  ,016300  
Kec. Mampang Prapatan,016307  ,016300  
Kec. Pancoran,016308  ,016300  
Kec. Pasar Minggu,016302  ,016300  
Kec. Pesanggrahan,016304  ,016300  
Kec. Setia Budi,016310  ,016300  
Kec. Tebet,016309  ,016300  
Kec. Cempaka Putih,016005  ,016000  
Kec. Gambir,016008  ,016000  
Kec. Johar Baru,016004  ,016000  
Kec. Kemayoran,016006  ,016000  
Kec. Menteng,016002  ,016000  
Kec. Sawah Besar,016007  ,016000  
Kec. Senen,016003  ,016000  
Kec. Tanah Abang,016001  ,016000  
Kec. Airgegas,290508  ,290500  
Kec. Kep. Pongok,290509  ,290500  
Kec. Lepar,290505  ,290500  
Kec. Payung,290501  ,290500  
Kec. Pulau Besar,290506  ,290500  
Kec. Simpang Rimba,290502  ,290500  
Kec. Toboali,290503  ,290500  
Kec. Tukak Sadai,290507  ,290500  
Kec. Badau,290208  ,290200  
Kec. Membalong,290201  ,290200  
Kec. Selat Nasik,290209  ,290200  
Kec. Sijuk,290207  ,290200  
Kec. Tanjung Pandan,290206  ,290200  
Babat Supat,110120  ,110100  
Babat Toman,110102  ,110100  
Kec. Batanghari Leko,110112  ,110100  
Kec. Keluang,110113  ,110100  
Kec. Lais,110111  ,110100  
Kec. Lalan,110117  ,110100  
Kec. Lawang Wetan,110119  ,110100  
Kec. Plakat Tinggi,110116  ,110100  
Kec. Sekayu,110104  ,110100  
Kec. Sungai Keruh,110103  ,110100  
Kec. Tungkal Jaya,110118  ,110100  
Kec. Sanga Desa,110101  ,110100  
Kec. Bayung Lencir,110110  ,110100  
Kec. Sungai Lilin,110109  ,110100  
Kec. Bua,191707  ,191700  
Kec. Bua Ponrang (Bupon),191706  ,191700  
Kec. Kamanre,191712  ,191700  
Kec. Lamasi,191709  ,191700  
Kec. Lamasi Timur,191716  ,191700  
Kec. Larompong,191701  ,191700  
Kec. Larompong Selatan,191711  ,191700  
Kec. Latimojong,191710  ,191700  
Kec. Bajo Barat,191718  ,191700  
Kec. Bassesangtempe,191705  ,191700  
Kec. Bassesangtempe Utara,191722  ,191700  
Kec. Belopa,191703  ,191700  
Kec. Walenrang,191708  ,191700  
Kec. Walenrang Barat,191713  ,191700  
Kec. Walenrang Timur,191715  ,191700  
Kec. Walenrang Utara,191714  ,191700  
Kec. Suli,191702  ,191700  
Kec. Ponrang,191720  ,191700  
Kec. Bajo,191704  ,191700  
Kec. Suli Barat,191717  ,191700  
Kec. Ponrang Selatan,191719  ,191700  
