Kota Jakarta Barat,016200  ,010000  
Kota Jakarta Utara,016100  ,010000  
Kota Jakarta Pusat,016000  ,010000  
Kab. Kepulauan Seribu,010100  ,010000  
Kota Jakarta Selatan,016300  ,010000  
Kota Jakarta Timur,016400  ,010000  
Kab. Bangka,290100  ,290000  
Kab. Bangka Barat,290400  ,290000  
Kab. Bangka Selatan,290500  ,290000  
Kab. Bangka Tengah,290300  ,290000  
Kab. Belitung,290200  ,290000  
Kab. Belitung Timur,290600  ,290000  
Kota Pangkalpinang,296000  ,290000  
Kab. Sleman,040200  ,040000  
Kab. Gunung Kidul,040300  ,040000  
Kab. Bantul,040100  ,040000  
Kota Yogyakarta,046000  ,040000  
Kab. Kulon Progo,040400  ,040000  
Kota Bandar Lampung,126000  ,120000  
Kab. Tulang Bawang Barat,121200  ,120000  
Kab. Lampung Barat,120400  ,120000  
Kab. Tanggamus,120600  ,120000  
Kab. Pesisir Barat,121300  ,120000  
Kab. Pringsewu,121000  ,120000  
Kota Metro,126100  ,120000  
Kab. Pesawaran,120900  ,120000  
Kab. Lampung Timur,120700  ,120000  
Kab. Lampung Selatan,120100  ,120000  
Kab. Tulang Bawang,120500  ,120000  
Kab. Lampung Utara,120300  ,120000  
Kab. Way Kanan,120800  ,120000  
Kab. Lampung Tengah,120200  ,120000  
Kab. Mesuji,121100  ,120000  
Kab. Sintang,130400  ,130000  
Kab. Sekadau,131000  ,130000  
Kab. Sambas,130100  ,130000  
Kab. Bengkayang,130800  ,130000  
Kab. Kapuas Hulu,130500  ,130000  
Kab. Kayong Utara,131200  ,130000  
Kab. Ketapang,130600  ,130000  
Kab. Kuburaya,131300  ,130000  
Kab. Melawi,131100  ,130000  
Kab. Landak,130900  ,130000  
Kab. Mempawah,130200  ,130000  
Kab. Sanggau,130300  ,130000  
Kota Singkawang,136100  ,130000  
Kota Pontianak,136000  ,130000  
Kab. Kerinci,100500  ,100000  
Kab. Bungo,100200  ,100000  
Kab. Tanjung Jabung Barat,100400  ,100000  
Kab. Tebo,100600  ,100000  
Kab. Merangin,100900  ,100000  
Kab. Sarolangun,100300  ,100000  
Kab. Batang Hari,100100  ,100000  
Kab. Muaro Jambi,100700  ,100000  
Kab. Tanjung Jabung Timur,100800  ,100000  
Kota Sungai Penuh,106100  ,100000  
Kota Jambi,106000  ,100000  
Kab. Tanah Laut,150200  ,150000  
Kab. Banjar,150100  ,150000  
Kab. Tapin,150400  ,150000  
Kab. Balangan,151000  ,150000  
Kab. Hulu Sungai Utara,150700  ,150000  
Kab. Tabalong,150800  ,150000  
Kab. Hulu Sungai Tengah,150600  ,150000  
Kab. Tanah Bumbu,151100  ,150000  
Kab. Barito Kuala,150300  ,150000  
Kota Banjarbaru,156100  ,150000  
Kota Banjarmasin,156000  ,150000  
Kab. Kotabaru,150900  ,150000  
Kab. Hulu Sungai Selatan,150500  ,150000  
Kab. Aceh Barat,060600  ,060000  
Kota Lhokseumawe,066200  ,060000  
Kab. Pidie Jaya,062000  ,060000  
Kota Sabang,066000  ,060000  
Kab. Aceh Barat Daya,061700  ,060000  
Kota Subulussalam,066400  ,060000  
Kab. Gayo Lues,061800  ,060000  
Kota Langsa,066300  ,060000  
Kab. Aceh Jaya,061600  ,060000  
Kab. Bener Meriah,061900  ,060000  
Kab. Nagan Raya,061500  ,060000  
Kab. Aceh Selatan,060700  ,060000  
Kab. Aceh Timur,060400  ,060000  
Kab. Bireuen,061200  ,060000  
Kab. Aceh Besar,060100  ,060000  
Kab. Aceh Tengah,060500  ,060000  
Kab. Aceh Tamiang,061400  ,060000  
Kab. Aceh Utara,060300  ,060000  
Kab. Pidie,060200  ,060000  
Kab. Simeulue,061100  ,060000  
Kab. Aceh Singkil,061300  ,060000  
Kota Banda Aceh,066100  ,060000  
Kab. Aceh Tenggara,060800  ,060000  
Kab. Sukoharjo,031100  ,030000  
Kab. Purbalingga,030300  ,030000  
Kab. Semarang,032200  ,030000  
Kab. Wonosobo,030700  ,030000  
Kab. Magelang,030800  ,030000  
Kab. Banjarnegara,030400  ,030000  
Kab. Jepara,032000  ,030000  
Kab. Pekalongan,032600  ,030000  
Kab. Kudus,031900  ,030000  
Kab. Wonogiri,031200  ,030000  
Kab. Tegal,032800  ,030000  
Kab. Pati,031800  ,030000  
Kab. Blora,031600  ,030000  
Kab. Pemalang,032700  ,030000  
