09048AC9FE2161B2942D,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
8C076DA09EC7CCFD7E69,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Pusat
A0CBC47C03129743002B,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Telkomsel Flash, Negeri, SD, Pemerintah Daerah
245BFC334144F71F0A0C,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Pusat
DE3B7FBD1DE8BC61397A,B, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Pusat
21C94EE929D56BF5D7F5,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Pusat
32B3D02DB078A34EC0AC,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Pusat
2CB5E93334E571A71ABE,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Daerah
5360B6DB89D70EF46649,C, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Pusat
0EC7A45D94B8678208C7,C, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Pusat
509B8723B0906E0111A3,A, Bersedia Menerima, Belum Bersertifikat, PLN, 900, Tidak Ada, Negeri, SD, Pemerintah Daerah
22EF37969B19B7A99109,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Pusat
EB1CA6AA2C879793885B,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Daerah
D0B2A4D8D5DAD95A08E5,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Pusat
4A3D10B6F6BF0EEBA5FF,B, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Pusat
4E702E7E8130D492AEE8,C, Bersedia Menerima, Belum Bersertifikat, Diesel, 450, Tidak Ada, Negeri, SD, Pemerintah Daerah
1361C901F7B907E7CE13,C, Bersedia Menerima, Belum Bersertifikat, PLN, 450, Tidak Ada, Negeri, SD, Pemerintah Daerah
997B05371D617C37A03B,B, Bersedia Menerima, Belum Bersertifikat, PLN, 0, Tidak Ada, Negeri, SD, Pemerintah Daerah
